The Best NBA Player's,,,,,,
Player Name,Position,Offense,Defense,Total,War Total,Pace Impact
Bogdan Bogdanovic,2215,1.860497479,-0.03590176,1.824595719,2.491298596,-0.431810516
Immanuel Quickley,2295,2.815571754,-1.26110758,1.554464174,2.455150439,-1.165367692
Gordon Hayward,3143,0.941273975,-0.49264244,0.448631536,2.454244818,0.531603695
Furkan Korkmaz,2039,1.232668115,0.96364534,2.196313455,2.444295923,0.373519495
Cameron Johnson,2760,-0.842094476,1.65245434,0.810359863,2.423651753,-0.50830965
Caris LeVert,2463,0.18675593,1.236136323,1.422892253,2.414036974,0.762889986
Derrick Jones Jr.,2613,-1.496643458,2.472423773,0.975780315,2.387400683,-0.564437751
Blake Griffin,1966,0.526567833,1.594823003,2.121390836,2.374488115,-0.388487304
LaMelo Ball,2526,2.195120971,-1.082112705,1.113008266,2.361811817,2.092174728
Ivica Zubac,2979,-0.938361416,1.401129473,0.462768057,2.357470345,0.085935051
RJ Barrett,4439,-0.006231829,-0.66516325,-0.671395079,2.324833042,0.332370319
Steven Adams,3259,-0.474872847,0.586028995,0.111156148,2.278793679,-1.272081625
Damion Lee,2320,0.283640485,1.126479247,1.410119732,2.278080147,-0.532773266
Kevin Huerter,4015,0.314911441,-0.770342972,-0.455431532,2.268485482,-0.169730277
Khem Birch,2487,-1.716054939,2.661919564,0.945864625,2.245459231,-0.81912961
De'Andre Hunter,1327,-0.341888494,4.600693155,4.258804661,2.236555257,0.073274646
Grayson Allen,2616,0.260162546,0.533886982,0.794049527,2.223453478,0.21943238
Nerlens Noel,2704,-2.147491664,2.653813308,0.506321644,2.211065834,-0.762769207
Monte Morris,2374,0.483128531,0.568387543,1.051516074,2.210869495,-0.97348881
Daniel Theis,2971,-1.262899291,1.535989902,0.273090611,2.197870069,-0.339208029
Jeremy Lamb,1630,2.884618746,-0.004966587,2.879652159,2.193637637,-0.166843245
Paul Millsap,2079,-0.102860716,1.49877889,1.395918174,2.178521937,-0.008474146
Andrew Wiggins,4408,-1.386233403,0.715986873,-0.670246531,2.168894023,-0.097462704
Andre Drummond,2039,-1.800755898,3.233280552,1.432524654,2.153285252,0.94694817
Domantas Sabonis,3993,-0.434393123,-0.088393377,-0.522786499,2.149972681,0.002208741
Al Horford,1634,-1.063862865,3.703376851,2.639513987,2.138549955,-0.550959247
Dillon Brooks,3570,-0.722243479,0.426938267,-0.295305212,2.116658406,1.337260252
Buddy Hield,4412,1.754269847,-2.531738295,-0.777468448,2.112422925,0.532618592
Josh Jackson,2937,-1.069258791,1.23352329,0.164264499,2.110852639,1.272224629
Aaron Gordon,2448,-0.139539668,0.81358373,0.674044062,2.067001312,0.187791164
Marcus Morris Sr.,2736,1.594097287,-1.302655637,0.291441651,2.050274044,-0.284014332
Kent Bazemore,2233,-1.492001529,2.547794887,1.055793357,2.012050277,0.412966693
David Nwaba,1456,-0.452730367,3.459074806,3.006344439,1.99732369,0.16080927
Kristaps Porzingis,2514,1.554796458,-1.108823548,0.445972911,1.99321064,-0.132780705
Georges Niang,1960,0.315113374,1.15277482,1.467888194,1.991713808,0.276848015
Bruce Brown,2672,0.383083571,-0.094134198,0.288949373,1.965334727,-0.509213266
Garrison Mathews,2096,-0.087267114,1.387212737,1.299945624,1.961908515,0.372024031
Talen Horton-Tucker,2356,-1.70441158,2.351447063,0.647035483,1.948722692,0.303457008
Reggie Jackson,2838,1.692246878,-1.660710758,0.03153612,1.937793988,-0.407010358
Maxi Kleber,2556,-1.466700189,1.783218553,0.316518364,1.91240899,-0.136238686
Jusuf Nurkic,1333,-1.705402265,4.81455675,3.109154485,1.883777543,1.324793956
Ja Morant,3642,2.099199314,-2.754234501,-0.655035187,1.834010332,0.942189638
Danilo Gallinari,2094,1.407256379,-0.623209358,0.784047021,1.824576212,-1.092378262
Larry Nance Jr.,2224,-2.615173985,3.111657129,0.496483144,1.802300572,-0.267149716
Serge Ibaka,1867,-0.993573709,2.107316412,1.113742703,1.800116584,-0.640157104
Chuma Okeke,2380,-1.441215467,1.780575624,0.339360158,1.782478207,-0.189139132
Victor Oladipo,2276,-1.28623617,1.713042606,0.426806436,1.770134972,0.9935823
Tomas Satoransky,2403,0.519231453,-0.31206604,0.207165413,1.743267637,-0.396591304
PJ Dozier,2083,-1.630904225,2.130015343,0.499111118,1.659570538,-0.388575222
Nicolas Claxton,962,-1.725690972,5.801952252,4.076261279,1.602546717,-0.406924539
Kendrick Nunn,2836,0.262590338,-0.841136972,-0.578546634,1.549363477,-0.10815849
Josh Okogie,2250,-1.853353282,1.956625269,0.103271987,1.536385319,0.13392037
Patty Mills,3114,0.241000273,-0.963739083,-0.72273881,1.522543932,0.140069794
Xavier Tillman,1981,-0.601988187,1.009182021,0.407193834,1.504989125,-0.610749261
James Ennis III,2015,-0.014711449,0.295776688,0.281065239,1.497290904,-0.186033231
Kentavious Caldwell-Pope,3264,-0.558878703,-0.36084688,-0.919725584,1.469603724,-0.078277379
Kevon Looney,1911,-0.619821938,1.041378206,0.421556268,1.432101746,-1.23493359
Trey Burke,1590,0.260289185,0.698575894,0.958865079,1.431867336,-0.438780574
Tyus Jones,2267,0.05501939,-0.177464135,-0.122444745,1.421287242,-1.389043375
Shake Milton,2709,0.078976214,-0.677273184,-0.59829697,1.398565963,-0.16033388
Cody Zeller,1710,0.172541194,0.424853881,0.597395076,1.391725843,0.112037885
Daniel Gafford,1338,0.251540936,1.399868559,1.651409495,1.363238264,0.439918832
Marc Gasol,1831,-2.41255669,2.644922393,0.232365703,1.346699594,0.810736233
Evan Fournier,2142,0.80176322,-0.997055966,-0.195292746,1.342053742,0.928291783
Robert Williams III,1881,0.693297164,-0.574198332,0.119098833,1.324860615,0.008284211
DeMarcus Cousins,1327,-2.000218195,3.364164046,1.363945852,1.315870515,1.478724384
Dwight Powell,1463,-1.597779705,2.492283435,0.894503731,1.303440423,-0.001321329
Brandon Clarke,2692,-1.52866531,0.806897545,-0.721767765,1.301752591,-0.48145009
Patrick Beverley,1481,0.028216744,0.584421239,0.612637984,1.237890827,-0.619676718
Reggie Bullock,3299,-0.489386531,-0.764257168,-1.2536437,1.236286333,-0.226300752
Tyrese Haliburton,3595,1.35329482,-2.670261445,-1.316966625,1.230499153,-0.059827136
Isaiah Hartenstein,1110,-2.168992505,3.888668869,1.719676364,1.225706141,0.295358135
Mike Muscala,1383,-0.048403522,1.015206175,0.966802654,1.224568857,0.119407978
Willie Cauley-Stein,1499,-1.505736609,2.015298384,0.509561774,1.20525282,-0.452799352
Tyler Herro,3017,-0.467139309,-0.680317287,-1.147456595,1.201738807,-0.150466857
Wesley Matthews,2009,-1.89310221,1.582413574,-0.310688636,1.200217437,-0.063902268
Terance Mann,2486,-0.713055224,-0.049873869,-0.762929093,1.198641013,-0.819507163
Mitchell Robinson,1713,-2.194908418,2.191476467,-0.003431951,1.179102263,-1.368290373
Juan Toscano-Anderson,1742,-1.390388125,1.406904379,0.016516253,1.133078489,-0.03002651
Robin Lopez,2558,-1.24551656,0.376641523,-0.868875037,1.125481333,-1.133306979
Dennis Smith Jr.,857,-1.825982405,4.321624842,2.495642437,1.110300025,-1.08352558
Derrick Favors,1889,-0.889073788,0.566714748,-0.322359041,1.106172024,0.123913976
Andre Iguodala,2413,-2.440414086,1.526305436,-0.914108651,1.102836839,-0.477784694
Willy Hernangomez,1312,0.478264901,0.252883498,0.7311484,1.091789511,-0.210037545
Payton Pritchard,2295,0.505706033,-1.305347085,-0.799641052,1.091783214,-1.164797904
Jarred Vanderbilt,2045,-2.426996249,1.923917646,-0.503078603,1.088012129,0.543702458
John Konchar,1007,0.130320957,1.571492024,1.701812981,1.081234234,0.00824275
Hamidou Diallo,2247,-1.205159797,0.482042384,-0.723117413,1.080772289,0.15075034
Naz Reid,2535,-1.722754771,0.75997938,-0.962775392,1.071252806,0.502699346
Nickeil Alexander-Walker,1784,-1.672319321,1.349633723,-0.322685597,1.059006341,0.489771763
Wayne Ellington,1989,1.612358428,-2.211018237,-0.598659809,1.055322406,-0.055630562
Darius Garland,3610,0.339762078,-1.944856285,-1.605094207,1.026829241,-0.007168796
Tony Bradley,1239,0.74193589,-0.09994529,0.6419906,1.003413937,-0.822374839
Malik Monk,1484,1.161938545,-1.097533605,0.06440494,1.002447916,0.600234362
Taurean Prince,1918,-0.45817835,-0.230028454,-0.688206805,0.964537301,0.587195082
George Hill,989,1.193052948,-0.080413177,1.112639771,0.94546607,-0.796621477
Michael Carter-Williams,1689,-4.277489389,3.76389031,-0.513599079,0.916589624,0.41795072
Malik Beasley,2582,1.146344623,-2.477783218,-1.331438595,0.878274309,-0.041146901
Darius Miller,430,2.421548933,3.56175823,5.983307163,0.877049968,-0.083873412
Trevor Ariza,1225,-1.702728479,1.82363216,0.120903681,0.876425105,-0.277435184
Dario Saric,1509,-1.174121088,0.79990876,-0.374212328,0.873550424,0.235214606
JaMychal Green,1839,-0.095051625,-0.784355897,-0.879407522,0.854206671,-0.220318572
Cody Martin,1711,-1.958651558,1.261589098,-0.69706246,0.852728317,-0.477298866
